seed,gen_0,gen_1,gen_2,gen_3,gen_4,gen_5,gen_6,gen_7,gen_8,gen_9,gen_10,gen_11,gen_12,gen_13,gen_14,gen_15,gen_16,gen_17,gen_18,gen_19,gen_20,gen_21,gen_22,gen_23,gen_24,gen_25,gen_26,gen_27,gen_28,gen_29,gen_30,gen_31,gen_32,gen_33,gen_34,gen_35,gen_36,gen_37,gen_38,gen_39,gen_40,gen_41,gen_42,gen_43,gen_44,gen_45,gen_46,gen_47,gen_48,gen_49,gen_50,gen_51,gen_52,gen_53,gen_54,gen_55,gen_56,gen_57,gen_58,gen_59,gen_60,gen_61,gen_62,gen_63,gen_64,gen_65,gen_66,gen_67,gen_68,gen_69,gen_70,gen_71,gen_72,gen_73,gen_74,gen_75,gen_76,gen_77,gen_78,gen_79,gen_80,gen_81,gen_82,gen_83,gen_84,gen_85,gen_86,gen_87,gen_88,gen_89,gen_90,gen_91,gen_92,gen_93,gen_94,gen_95,gen_96,gen_97,gen_98,gen_99,gen_100
14,0.499925,0.487046,0.465481,0.433095,0.383937,0.302402,0.266721,0.252115,0.253968,0.234830,0.197703,0.191030,0.173810,0.162990,0.147101,0.140962,0.150521,0.154873,0.154323,0.145133,0.124285,0.111727,0.104483,0.097889,0.092556,0.086907,0.086180,0.097406,0.093881,0.099137,0.102137,0.100317,0.094198,0.092913,0.086701,0.082000,0.075972,0.068440,0.055097,0.054869,0.055135,0.054038,0.048523,0.041337,0.033806,0.033648,0.035685,0.041091,0.040608,0.040786,0.039493,0.032832,0.029160,0.023780,0.022285,0.018661,0.018952,0.019038,0.017590,0.017479,0.021414,0.019265,0.019707,0.020941,0.018174,0.016572,0.017382,0.018798,0.018749,0.016099,0.012386,0.014782,0.010754,0.013170,0.016960,0.013840,0.017790,0.016990,0.015194,0.010541,0.017028,0.018152,0.018723,0.013913,0.018624,0.018796,0.020455,0.018818,0.016240,0.016515,0.019459,0.019198,0.020513,0.019475,0.017283,0.018707,0.016875,0.018000,0.019295,0.019513,0.019263
15,0.498943,0.482685,0.456863,0.415184,0.374846,0.348354,0.271315,0.229283,0.197406,0.162356,0.139891,0.127529,0.129784,0.124661,0.132057,0.134893,0.144859,0.141582,0.146501,0.143721,0.144865,0.135374,0.128539,0.125109,0.118251,0.117127,0.114523,0.106182,0.091796,0.092026,0.099816,0.092867,0.101461,0.095477,0.086459,0.079640,0.074608,0.073034,0.068331,0.058838,0.056770,0.053469,0.049958,0.049121,0.044964,0.037651,0.037053,0.026168,0.024925,0.020895,0.022040,0.019414,0.014776,0.013889,0.014766,0.015640,0.015608,0.015093,0.011475,0.013046,0.013602,0.009234,0.008911,0.008863,0.009463,0.012937,0.013362,0.013317,0.013178,0.013549,0.016481,0.015792,0.015717,0.018505,0.016081,0.013537,0.011741,0.014885,0.014162,0.011051,0.013954,0.017228,0.019398,0.020574,0.018788,0.020123,0.017687,0.017917,0.018634,0.017160,0.013945,0.015307,0.014883,0.015612,0.023251,0.020259,0.018653,0.018016,0.020061,0.016424,0.013525
16,0.500271,0.486560,0.458842,0.421909,0.352012,0.306297,0.263497,0.265956,0.243693,0.237923,0.229812,0.165511,0.147933,0.156368,0.168091,0.166529,0.167368,0.167741,0.164677,0.158729,0.152493,0.142194,0.132109,0.126820,0.120028,0.121552,0.122079,0.121749,0.113388,0.106044,0.095095,0.090632,0.084459,0.088915,0.077887,0.075717,0.071529,0.068851,0.059416,0.054764,0.049463,0.044675,0.034574,0.029366,0.028473,0.032871,0.028960,0.027222,0.028051,0.028202,0.031541,0.027293,0.021907,0.020214,0.014485,0.013069,0.012242,0.012826,0.014612,0.013749,0.012802,0.011729,0.009406,0.011008,0.012554,0.012525,0.014893,0.011046,0.014554,0.016923,0.019626,0.017438,0.012178,0.011762,0.013655,0.016206,0.017166,0.019230,0.021935,0.016598,0.016335,0.014040,0.014927,0.017032,0.019552,0.022939,0.023303,0.018731,0.017420,0.021063,0.017444,0.013596,0.011855,0.015893,0.013325,0.010354,0.012018,0.009115,0.009659,0.012733,0.011287
17,0.500206,0.485826,0.457479,0.418210,0.397392,0.373204,0.335475,0.299196,0.280651,0.279097,0.263428,0.260376,0.254760,0.231685,0.215345,0.204129,0.196269,0.183552,0.175366,0.171313,0.159020,0.155137,0.149903,0.134568,0.121810,0.117305,0.112125,0.101622,0.093640,0.085598,0.079891,0.076392,0.067879,0.067788,0.065469,0.058147,0.047206,0.043626,0.043770,0.043622,0.043269,0.045547,0.042083,0.038352,0.032996,0.036436,0.037521,0.037966,0.037283,0.034871,0.032772,0.030117,0.028436,0.031376,0.026861,0.023345,0.021477,0.022022,0.019952,0.023418,0.019222,0.016438,0.017127,0.017408,0.020479,0.020059,0.021818,0.020834,0.022644,0.021097,0.020335,0.021305,0.016731,0.015545,0.018156,0.015016,0.017352,0.019275,0.020620,0.020349,0.027481,0.025968,0.025362,0.021034,0.019939,0.020947,0.021895,0.021236,0.020291,0.022566,0.021345,0.020703,0.020149,0.020653,0.022285,0.018267,0.015485,0.019626,0.022489,0.023814,0.018774
18,0.499220,0.486592,0.466574,0.436115,0.385572,0.334970,0.311976,0.281307,0.260022,0.214343,0.204141,0.184885,0.175436,0.151051,0.144539,0.126709,0.119598,0.108574,0.107519,0.113147,0.111162,0.104657,0.104966,0.107263,0.099259,0.095200,0.102426,0.094127,0.096442,0.102549,0.104432,0.101279,0.094299,0.089208,0.081481,0.075853,0.068166,0.063360,0.051935,0.048747,0.042339,0.038192,0.036099,0.038867,0.035899,0.035907,0.034069,0.025574,0.030277,0.028665,0.028806,0.026323,0.023851,0.020386,0.018497,0.017000,0.015958,0.016675,0.019083,0.018313,0.020749,0.015285,0.014824,0.013448,0.015921,0.015352,0.018226,0.016588,0.016956,0.020976,0.018988,0.019222,0.017279,0.016236,0.014931,0.016768,0.016568,0.017216,0.016364,0.012230,0.010851,0.009713,0.011271,0.012562,0.013222,0.015533,0.012446,0.011030,0.010855,0.012046,0.014329,0.013277,0.011602,0.010263,0.012877,0.014394,0.012586,0.015861,0.016935,0.019463,0.019186
19,0.500626,0.484881,0.458402,0.409970,0.373180,0.321333,0.282186,0.261659,0.239749,0.231372,0.209994,0.164788,0.163463,0.149455,0.138499,0.132325,0.124760,0.123812,0.119879,0.103612,0.099669,0.103937,0.103784,0.101584,0.100164,0.098523,0.095178,0.094111,0.092331,0.089970,0.080545,0.070020,0.070497,0.070030,0.060673,0.054281,0.051717,0.042699,0.034949,0.035909,0.037535,0.040420,0.039816,0.045337,0.043816,0.046147,0.043820,0.041370,0.039877,0.044996,0.037160,0.035794,0.033689,0.033968,0.029638,0.027909,0.026679,0.024711,0.028154,0.026943,0.031606,0.029638,0.030481,0.030188,0.026792,0.028455,0.026000,0.024291,0.027390,0.026828,0.023475,0.024826,0.025006,0.027846,0.025406,0.026127,0.023887,0.020354,0.020877,0.019430,0.023349,0.025071,0.018899,0.020646,0.017384,0.018915,0.022182,0.023149,0.023812,0.023071,0.022749,0.019810,0.017463,0.014560,0.015000,0.016192,0.013354,0.013693,0.011119,0.011174,0.010055
20,0.499713,0.483461,0.467677,0.433311,0.405778,0.366762,0.319657,0.311873,0.305624,0.295442,0.284020,0.257923,0.234535,0.223123,0.217024,0.202758,0.182782,0.163861,0.150810,0.140735,0.139943,0.141707,0.134592,0.131186,0.128352,0.114725,0.101867,0.096469,0.093481,0.089893,0.090222,0.086598,0.075459,0.069028,0.066646,0.062067,0.061156,0.056046,0.052723,0.054162,0.044923,0.038768,0.036434,0.036501,0.031622,0.029990,0.029392,0.027493,0.026794,0.022459,0.026954,0.026208,0.028584,0.023727,0.021287,0.023760,0.021525,0.021976,0.021139,0.022004,0.022024,0.017055,0.011881,0.015400,0.012574,0.011255,0.009467,0.012970,0.012634,0.016121,0.016881,0.019200,0.016867,0.020487,0.018426,0.020063,0.018669,0.016426,0.018883,0.016356,0.014877,0.015010,0.014281,0.016628,0.014897,0.014889,0.013537,0.013386,0.010451,0.013358,0.013586,0.016576,0.015834,0.018677,0.020794,0.018707,0.017600,0.020279,0.017226,0.014776,0.014523
21,0.500194,0.490499,0.472905,0.445477,0.388238,0.353531,0.337549,0.308020,0.289844,0.272644,0.242501,0.232541,0.221471,0.226459,0.226206,0.206370,0.192525,0.171271,0.171907,0.159471,0.142018,0.134172,0.130170,0.127438,0.126499,0.120606,0.114073,0.104648,0.084875,0.078382,0.073552,0.071242,0.070848,0.071778,0.074806,0.077081,0.074834,0.078089,0.075943,0.077303,0.071224,0.067285,0.070976,0.059416,0.054384,0.050426,0.050566,0.042089,0.035345,0.032733,0.027956,0.026756,0.024901,0.023903,0.019434,0.023859,0.025461,0.023691,0.019655,0.019236,0.018711,0.018715,0.020259,0.018972,0.015368,0.014236,0.016804,0.015939,0.019317,0.020521,0.021640,0.019374,0.012937,0.015240,0.013889,0.013410,0.010990,0.012030,0.013226,0.014594,0.014873,0.021806,0.020323,0.020947,0.019754,0.016059,0.016255,0.015457,0.011362,0.008271,0.009834,0.011966,0.011818,0.015925,0.015543,0.018222,0.015958,0.018222,0.016016,0.017253,0.014085
22,0.501840,0.487018,0.470382,0.449838,0.420956,0.390675,0.343824,0.317640,0.292905,0.276602,0.263113,0.244495,0.222756,0.203762,0.188267,0.164828,0.142238,0.134776,0.126705,0.123069,0.118184,0.111863,0.105731,0.101552,0.098719,0.090406,0.087632,0.080026,0.072834,0.069410,0.065341,0.066152,0.053693,0.039238,0.039168,0.032899,0.040525,0.040970,0.043125,0.039196,0.038032,0.031614,0.031705,0.029057,0.024731,0.022986,0.021026,0.018475,0.019988,0.017376,0.015661,0.016392,0.015915,0.018392,0.017208,0.013412,0.011901,0.015198,0.015154,0.013665,0.013554,0.017024,0.022618,0.023184,0.023762,0.022673,0.017339,0.019125,0.022232,0.018315,0.017444,0.018976,0.017687,0.023170,0.018911,0.016836,0.015220,0.013129,0.012758,0.014693,0.016572,0.016051,0.016838,0.016388,0.018418,0.015933,0.013188,0.016947,0.018226,0.018263,0.020133,0.019980,0.016723,0.011966,0.012053,0.011048,0.014489,0.012137,0.010624,0.013968,0.013501
23,0.496590,0.482978,0.444760,0.395947,0.332422,0.259620,0.228034,0.210315,0.220354,0.213067,0.207903,0.193099,0.181428,0.166986,0.148380,0.149632,0.138984,0.139739,0.126988,0.119867,0.113461,0.115030,0.103269,0.089956,0.084897,0.086026,0.089885,0.085356,0.079723,0.079786,0.076925,0.070248,0.062691,0.061483,0.064152,0.066925,0.062263,0.056844,0.052238,0.054089,0.055216,0.055752,0.046038,0.043737,0.042778,0.037503,0.035564,0.035653,0.040042,0.035160,0.033838,0.030531,0.030541,0.027978,0.021459,0.025420,0.024238,0.020044,0.021170,0.018976,0.021129,0.018594,0.020352,0.014762,0.012853,0.017915,0.015836,0.018430,0.021453,0.019226,0.019634,0.018576,0.013265,0.010606,0.014489,0.013400,0.012861,0.015321,0.013697,0.011982,0.014917,0.019814,0.020046,0.022111,0.020410,0.025046,0.023152,0.021822,0.019834,0.018725,0.020436,0.019487,0.018416,0.015705,0.015784,0.016327,0.015756,0.015877,0.017210,0.020194,0.020531
