generation,strict_div_mean,strict_div_std,strict_div_ci_low,strict_div_ci_high,lax_div_mean,lax_div_std,lax_div_ci_low,lax_div_ci_high,mann_whitney_U,p_value,rank_biserial_r,cohens_d,strict_best_fit_mean,lax_best_fit_mean
42,0.064587,0.011488,0.060298,0.068877,0.041116,0.009489,0.037573,0.044659,849.0,3.824891e-09,-0.8867,2.2277,98.77,99.23
43,0.063495,0.010898,0.059425,0.067564,0.039175,0.008433,0.036026,0.042323,868.0,6.721954e-10,-0.9289,2.4960,98.90,99.33
44,0.060953,0.010456,0.057049,0.064857,0.037415,0.008318,0.034308,0.040521,872.0,4.615910e-10,-0.9378,2.4914,99.23,99.43
45,0.058991,0.009076,0.055602,0.062380,0.035440,0.007913,0.032485,0.038395,890.0,8.152745e-11,-0.9778,2.7661,99.33,99.70
46,0.056016,0.009480,0.052476,0.059556,0.033644,0.008605,0.030431,0.036858,880.0,2.154399e-10,-0.9556,2.4711,99.50,99.77
47,0.053611,0.009360,0.050116,0.057107,0.031240,0.008959,0.027895,0.034585,881.0,1.956780e-10,-0.9578,2.4418,99.80,99.70
48,0.050986,0.008847,0.047683,0.054290,0.030171,0.008127,0.027136,0.033206,870.0,5.569602e-10,-0.9333,2.4505,99.87,99.77
49,0.049200,0.008556,0.046006,0.052395,0.028768,0.008635,0.025544,0.031992,863.0,1.070179e-09,-0.9178,2.3772,99.83,99.83
50,0.048057,0.007659,0.045197,0.050917,0.027909,0.008163,0.024861,0.030957,873.0,4.199677e-10,-0.9400,2.5456,99.87,99.90
51,0.046902,0.007694,0.044029,0.049775,0.026446,0.007791,0.023537,0.029355,882.0,1.776908e-10,-0.9600,2.6420,99.90,99.90
52,0.044828,0.006823,0.042280,0.047375,0.024691,0.007629,0.021842,0.027540,884.0,1.464307e-10,-0.9644,2.7824,99.90,99.87
53,0.043180,0.005792,0.041018,0.045343,0.022868,0.007170,0.020191,0.025546,891.0,7.389083e-11,-0.9800,3.1165,99.97,99.87
54,0.041777,0.005755,0.039628,0.043926,0.021348,0.006468,0.018933,0.023763,893.0,6.065757e-11,-0.9844,3.3369,99.97,99.93
55,0.041091,0.006100,0.038813,0.043369,0.020551,0.006267,0.018211,0.022892,891.0,7.389083e-11,-0.9800,3.3214,100.00,99.97
56,0.040496,0.006111,0.038214,0.042778,0.019937,0.005812,0.017766,0.022107,893.0,6.065757e-11,-0.9844,3.4473,100.00,99.97
57,0.040547,0.005395,0.038532,0.042561,0.020160,0.005583,0.018076,0.022245,891.0,7.389083e-11,-0.9800,3.7135,100.00,100.00
58,0.039298,0.005186,0.037362,0.041235,0.019540,0.005448,0.017505,0.021574,895.0,4.975166e-11,-0.9889,3.7151,100.00,100.00
59,0.038317,0.004571,0.036610,0.040023,0.019367,0.005068,0.017475,0.021259,899.0,3.338389e-11,-0.9978,3.9268,100.00,100.00
60,0.038104,0.004686,0.036355,0.039854,0.019725,0.005526,0.017662,0.021788,893.0,6.065757e-11,-0.9844,3.5877,100.00,100.00
61,0.037749,0.004146,0.036201,0.039298,0.018918,0.005988,0.016682,0.021154,896.0,4.504322e-11,-0.9911,3.6563,100.00,100.00
62,0.037405,0.003639,0.036046,0.038764,0.018793,0.006176,0.016487,0.021100,896.0,4.504322e-11,-0.9911,3.6715,100.00,100.00
63,0.037353,0.003363,0.036097,0.038609,0.018989,0.005476,0.016944,0.021034,900.0,3.019859e-11,-1.0000,4.0411,100.00,100.00
64,0.036752,0.003744,0.035353,0.038150,0.018970,0.005037,0.017089,0.020851,900.0,3.017967e-11,-1.0000,4.0066,100.00,100.00
65,0.036385,0.003642,0.035025,0.037745,0.019061,0.005035,0.017181,0.020941,899.0,3.338389e-11,-0.9978,3.9424,100.00,100.00
66,0.036586,0.003822,0.035158,0.038013,0.018994,0.004818,0.017195,0.020794,895.0,4.975166e-11,-0.9889,4.0449,100.00,100.00
67,0.035865,0.003109,0.034704,0.037026,0.019076,0.005177,0.017143,0.021010,896.0,4.504322e-11,-0.9911,3.9319,100.00,100.00
68,0.036470,0.003369,0.035212,0.037728,0.019381,0.005209,0.017436,0.021326,898.0,3.687434e-11,-0.9956,3.8959,100.00,100.00
69,0.036814,0.003858,0.035373,0.038254,0.019244,0.004742,0.017473,0.021015,898.0,3.687434e-11,-0.9956,4.0648,100.00,100.00
70,0.037102,0.004249,0.035515,0.038689,0.018384,0.004044,0.016873,0.019894,900.0,3.019859e-11,-1.0000,4.5125,100.00,100.00
71,0.036719,0.004316,0.035108,0.038331,0.017988,0.003872,0.016543,0.019434,900.0,3.019859e-11,-1.0000,4.5686,100.00,100.00
72,0.036207,0.004663,0.034466,0.037948,0.016886,0.004271,0.015291,0.018481,900.0,3.019859e-11,-1.0000,4.3210,100.00,100.00
73,0.037221,0.003685,0.035846,0.038597,0.017425,0.004271,0.015830,0.019020,900.0,3.019859e-11,-1.0000,4.9633,100.00,100.00
74,0.037066,0.003832,0.035635,0.038497,0.016785,0.003817,0.015360,0.018211,900.0,3.019859e-11,-1.0000,5.3034,100.00,100.00
75,0.036958,0.003634,0.035601,0.038315,0.016737,0.003907,0.015278,0.018196,900.0,3.019859e-11,-1.0000,5.3597,100.00,100.00
76,0.036967,0.004220,0.035391,0.038543,0.016590,0.003623,0.015237,0.017943,900.0,3.019859e-11,-1.0000,5.1810,100.00,100.00
77,0.036439,0.003622,0.035086,0.037791,0.016570,0.003674,0.015198,0.017942,900.0,3.019859e-11,-1.0000,5.4463,100.00,100.00
78,0.035571,0.004146,0.034022,0.037119,0.016688,0.003683,0.015313,0.018063,900.0,3.019859e-11,-1.0000,4.8154,100.00,100.00
79,0.035449,0.003712,0.034063,0.036835,0.016136,0.003516,0.014823,0.017449,900.0,3.019859e-11,-1.0000,5.3423,100.00,100.00
80,0.035623,0.003940,0.034152,0.037094,0.017062,0.003821,0.015635,0.018489,900.0,3.017967e-11,-1.0000,4.7826,100.00,100.00
81,0.035552,0.004301,0.033946,0.037158,0.017702,0.004032,0.016196,0.019207,900.0,3.019859e-11,-1.0000,4.2820,100.00,100.00
82,0.035407,0.004450,0.033745,0.037068,0.017342,0.003318,0.016103,0.018582,900.0,3.019859e-11,-1.0000,4.6017,100.00,100.00
83,0.035286,0.004911,0.033452,0.037119,0.017337,0.003392,0.016070,0.018604,900.0,3.017967e-11,-1.0000,4.2525,100.00,100.00
84,0.035453,0.004273,0.033858,0.037049,0.017375,0.003272,0.016153,0.018597,900.0,3.019859e-11,-1.0000,4.7509,100.00,100.00
85,0.035754,0.004705,0.033997,0.037511,0.018004,0.003923,0.016539,0.019469,900.0,3.019859e-11,-1.0000,4.0975,100.00,100.00
86,0.035916,0.004554,0.034215,0.037616,0.017944,0.004088,0.016417,0.019470,900.0,3.019859e-11,-1.0000,4.1532,100.00,100.00
87,0.035901,0.003894,0.034447,0.037355,0.017330,0.003728,0.015938,0.018722,900.0,3.019859e-11,-1.0000,4.8716,100.00,100.00
88,0.035517,0.004367,0.033886,0.037148,0.017306,0.004386,0.015669,0.018944,900.0,3.019859e-11,-1.0000,4.1609,100.00,100.00
89,0.035420,0.004136,0.033876,0.036965,0.017260,0.004400,0.015617,0.018902,900.0,3.019859e-11,-1.0000,4.2531,100.00,100.00
90,0.035641,0.004166,0.034085,0.037196,0.017554,0.004381,0.015918,0.019190,900.0,3.019859e-11,-1.0000,4.2306,100.00,100.00
91,0.035480,0.004157,0.033927,0.037032,0.017504,0.004237,0.015922,0.019086,900.0,3.019859e-11,-1.0000,4.2827,100.00,100.00
92,0.035450,0.003857,0.034010,0.036891,0.016698,0.004478,0.015026,0.018370,899.0,3.338389e-11,-0.9978,4.4872,100.00,100.00
93,0.035307,0.004737,0.033539,0.037076,0.016860,0.004274,0.015264,0.018456,900.0,3.019859e-11,-1.0000,4.0891,100.00,100.00
94,0.035107,0.004215,0.033533,0.036681,0.017086,0.004192,0.015521,0.018652,900.0,3.019859e-11,-1.0000,4.2869,100.00,100.00
95,0.034968,0.004591,0.033253,0.036682,0.016738,0.003472,0.015441,0.018035,900.0,3.017967e-11,-1.0000,4.4787,100.00,100.00
96,0.034224,0.004788,0.032436,0.036011,0.015897,0.003614,0.014547,0.017246,900.0,3.019859e-11,-1.0000,4.3208,100.00,100.00
97,0.035278,0.004480,0.033605,0.036950,0.016019,0.003682,0.014644,0.017394,900.0,3.019859e-11,-1.0000,4.6970,100.00,100.00
98,0.035120,0.005261,0.033155,0.037084,0.015665,0.004176,0.014105,0.017224,900.0,3.019859e-11,-1.0000,4.0964,100.00,100.00
99,0.035985,0.005774,0.033829,0.038141,0.016259,0.004644,0.014525,0.017993,898.0,3.689726e-11,-0.9956,3.7647,100.00,100.00
100,0.035200,0.004828,0.033398,0.037003,0.016089,0.003943,0.014616,0.017561,898.0,3.689726e-11,-0.9956,4.3357,100.00,100.00
