topology,distance,mean_coherence,std_coherence,sem_coherence,n_pairs,n_observations
none,inf,0.528611,0.061323,0.003541,10,300
ring,1,0.692486,0.136845,0.011173,5,150
ring,2,0.615403,0.107409,0.008770,5,150
star,1,0.747465,0.115412,0.010536,4,120
star,2,0.688125,0.123609,0.009213,6,180
random,1,0.756597,0.086609,0.005000,10,300
fully_connected,1,0.821729,0.052396,0.003025,10,300
