topology,seed,generation,hamming_diversity,population_divergence,best_fitness,island_0_diversity,island_0_fitness,island_1_diversity,island_1_fitness,island_2_diversity,island_2_fitness,island_3_diversity,island_3_fitness,island_4_diversity,island_4_fitness,div_0_1,div_0_2,div_0_3,div_0_4,div_1_2,div_1_3,div_1_4,div_2_3,div_2_4,div_3_4
none,0,0,0.4865654667721519,0.2486328125,0.75,0.44869791666666664,0.5666666666666667,0.38815104166666664,0.6,0.39283854166666665,0.5333333333333333,0.47890625,0.5666666666666667,0.45924479166666665,0.6,0.2958984375,0.2470703125,0.201171875,0.2216796875,0.294921875,0.2548828125,0.255859375,0.2314453125,0.271484375,0.2119140625
none,0,1,0.48315367879746834,0.322265625,0.7857142857142857,0.39609375,0.5666666666666667,0.28658854166666664,0.5666666666666667,0.36770833333333336,0.5666666666666667,0.463671875,0.5666666666666667,0.38111979166666665,0.5666666666666667,0.3779296875,0.30078125,0.2763671875,0.3017578125,0.3349609375,0.35546875,0.314453125,0.2802734375,0.3916015625,0.2890625
none,0,2,0.4725425237341772,0.3466796875,0.625,0.40390625,0.5666666666666667,0.29856770833333335,0.6,0.311328125,0.5666666666666667,0.39622395833333335,0.5333333333333333,0.3294270833333333,0.5666666666666667,0.3544921875,0.3447265625,0.3486328125,0.322265625,0.32421875,0.361328125,0.3330078125,0.30078125,0.4287109375,0.3486328125
none,0,3,0.47144976265822786,0.3720703125,0.6428571428571429,0.34348958333333335,0.5333333333333333,0.29375,0.6,0.29205729166666666,0.5333333333333333,0.366796875,0.5666666666666667,0.31588541666666664,0.5333333333333333,0.380859375,0.3525390625,0.4033203125,0.373046875,0.3603515625,0.3408203125,0.326171875,0.333984375,0.4658203125,0.3837890625
none,0,4,0.4611847310126582,0.4001953125,0.6666666666666666,0.32395833333333335,0.5666666666666667,0.21067708333333332,0.5666666666666667,0.2596354166666667,0.5666666666666667,0.31028645833333335,0.5666666666666667,0.2811197916666667,0.5666666666666667,0.435546875,0.359375,0.4208984375,0.3955078125,0.38671875,0.3583984375,0.3583984375,0.3681640625,0.4912109375,0.427734375
none,0,5,0.45990901898734177,0.3982421875,0.6111111111111112,0.36692708333333335,0.6,0.212890625,0.6,0.31979166666666664,0.5666666666666667,0.2688802083333333,0.5666666666666667,0.24036458333333333,0.6,0.4091796875,0.345703125,0.4326171875,0.404296875,0.3564453125,0.392578125,0.3623046875,0.3662109375,0.455078125,0.4580078125
none,0,6,0.45479133702531643,0.390625,0.6111111111111112,0.3436197916666667,0.5666666666666667,0.180078125,0.5666666666666667,0.32200520833333335,0.5333333333333333,0.2889322916666667,0.6,0.279296875,0.5666666666666667,0.419921875,0.341796875,0.4140625,0.41015625,0.375,0.36328125,0.37109375,0.357421875,0.439453125,0.4140625
none,0,7,0.44870945411392404,0.4025390625,0.7,0.35572916666666665,0.6,0.1453125,0.6,0.329296875,0.5666666666666667,0.27890625,0.6,0.22682291666666668,0.5666666666666667,0.443359375,0.3466796875,0.396484375,0.419921875,0.4130859375,0.408203125,0.388671875,0.3564453125,0.4521484375,0.400390625
none,0,8,0.44569323575949366,0.406640625,0.625,0.2640625,0.5333333333333333,0.19674479166666667,0.5666666666666667,0.27955729166666665,0.5666666666666667,0.275390625,0.5666666666666667,0.23854166666666668,0.6,0.4072265625,0.3935546875,0.4228515625,0.431640625,0.400390625,0.427734375,0.3701171875,0.392578125,0.4365234375,0.3837890625
none,0,9,0.43473101265822783,0.4271484375,0.6875,0.228515625,0.5333333333333333,0.17994791666666668,0.6,0.16236979166666668,0.5666666666666667,0.29908854166666665,0.5666666666666667,0.19908854166666667,0.5666666666666667,0.4306640625,0.388671875,0.4296875,0.439453125,0.4384765625,0.4208984375,0.4013671875,0.431640625,0.4921875,0.3984375
none,0,10,0.42649821993670883,0.4224609375,0.6666666666666666,0.22083333333333333,0.5666666666666667,0.19140625,0.6333333333333333,0.15,0.5333333333333333,0.25143229166666664,0.6,0.21380208333333334,0.6,0.40625,0.41015625,0.4169921875,0.4453125,0.4375,0.4033203125,0.400390625,0.4443359375,0.470703125,0.3896484375
none,0,11,0.4279816060126582,0.428125,0.6428571428571429,0.19049479166666666,0.5666666666666667,0.17708333333333334,0.6333333333333333,0.151953125,0.5666666666666667,0.26653645833333334,0.5666666666666667,0.20833333333333334,0.5666666666666667,0.4345703125,0.390625,0.44921875,0.4267578125,0.4326171875,0.4208984375,0.427734375,0.447265625,0.4638671875,0.3876953125
none,0,12,0.4291040348101266,0.4392578125,0.6,0.17669270833333334,0.6,0.161328125,0.5666666666666667,0.15651041666666668,0.5666666666666667,0.23059895833333333,0.5666666666666667,0.205078125,0.6,0.451171875,0.3935546875,0.478515625,0.458984375,0.4365234375,0.408203125,0.42578125,0.4638671875,0.4755859375,0.400390625
none,0,13,0.4247033227848101,0.4337890625,0.6666666666666666,0.22473958333333333,0.5666666666666667,0.13671875,0.5666666666666667,0.1546875,0.5333333333333333,0.23723958333333334,0.5333333333333333,0.20989583333333334,0.6,0.455078125,0.40234375,0.46484375,0.416015625,0.431640625,0.40625,0.4140625,0.474609375,0.47265625,0.400390625
none,0,14,0.42683445411392407,0.438671875,0.6111111111111112,0.18177083333333333,0.5666666666666667,0.155078125,0.5666666666666667,0.15572916666666667,0.5666666666666667,0.240625,0.5666666666666667,0.190625,0.5666666666666667,0.4521484375,0.40625,0.486328125,0.41796875,0.4345703125,0.3974609375,0.4208984375,0.46875,0.5,0.40234375
none,0,15,0.426621835443038,0.4341796875,0.6428571428571429,0.205078125,0.5333333333333333,0.16028645833333333,0.6333333333333333,0.16848958333333333,0.5666666666666667,0.2328125,0.5666666666666667,0.17760416666666667,0.6,0.447265625,0.3896484375,0.4716796875,0.4130859375,0.4404296875,0.4091796875,0.4248046875,0.4765625,0.478515625,0.390625
none,0,16,0.42462420886075947,0.4314453125,0.6428571428571429,0.18255208333333334,0.5666666666666667,0.18033854166666666,0.6333333333333333,0.18268229166666666,0.5333333333333333,0.23841145833333333,0.6666666666666666,0.15768229166666667,0.6,0.4501953125,0.3779296875,0.4638671875,0.4306640625,0.4375,0.423828125,0.419921875,0.4609375,0.474609375,0.375
none,0,17,0.4241099683544304,0.430859375,0.6666666666666666,0.18736979166666667,0.6333333333333333,0.19192708333333333,0.5666666666666667,0.15299479166666666,0.5666666666666667,0.24205729166666667,0.6,0.16783854166666667,0.5666666666666667,0.4716796875,0.3671875,0.466796875,0.431640625,0.4541015625,0.4052734375,0.4150390625,0.4765625,0.46484375,0.35546875
none,0,18,0.42557357594936707,0.433984375,0.6363636363636364,0.16158854166666667,0.5666666666666667,0.20833333333333334,0.5666666666666667,0.18489583333333334,0.5333333333333333,0.251171875,0.5666666666666667,0.140625,0.5333333333333333,0.4736328125,0.3603515625,0.46484375,0.4501953125,0.4609375,0.4189453125,0.416015625,0.4619140625,0.474609375,0.3583984375
none,0,19,0.4238676819620253,0.432421875,0.625,0.15143229166666666,0.5666666666666667,0.21966145833333334,0.5666666666666667,0.18307291666666667,0.5333333333333333,0.21145833333333333,0.5666666666666667,0.170703125,0.6333333333333333,0.45703125,0.3896484375,0.4560546875,0.451171875,0.4599609375,0.4189453125,0.4140625,0.451171875,0.4833984375,0.3427734375
none,0,20,0.4224881329113924,0.43828125,0.6428571428571429,0.160546875,0.6,0.21770833333333334,0.6,0.18190104166666668,0.5666666666666667,0.17122395833333334,0.6,0.14440104166666667,0.6,0.4462890625,0.41015625,0.439453125,0.458984375,0.4560546875,0.4482421875,0.4072265625,0.455078125,0.486328125,0.375
none,0,21,0.42549446202531643,0.42890625,0.65,0.17239583333333333,0.6,0.22239583333333332,0.5666666666666667,0.215625,0.5666666666666667,0.21080729166666667,0.5666666666666667,0.15846354166666668,0.5666666666666667,0.427734375,0.388671875,0.4501953125,0.4404296875,0.4609375,0.4189453125,0.3935546875,0.4619140625,0.4775390625,0.369140625
none,0,22,0.42278975474683544,0.436328125,0.7,0.16614583333333333,0.5333333333333333,0.21171875,0.6333333333333333,0.20377604166666666,0.6,0.17330729166666667,0.5333333333333333,0.155078125,0.5666666666666667,0.4296875,0.3974609375,0.4404296875,0.4619140625,0.4423828125,0.4541015625,0.3935546875,0.482421875,0.490234375,0.37109375
none,0,23,0.4154123813291139,0.43359375,0.65,0.146875,0.6,0.162890625,0.5333333333333333,0.20286458333333332,0.5333333333333333,0.17161458333333332,0.5666666666666667,0.1671875,0.5666666666666667,0.4560546875,0.396484375,0.435546875,0.45703125,0.4697265625,0.4306640625,0.3994140625,0.47265625,0.455078125,0.36328125
none,0,24,0.41804291930379744,0.4365234375,0.65,0.17669270833333334,0.6,0.13919270833333333,0.5666666666666667,0.18190104166666668,0.5666666666666667,0.19296875,0.5666666666666667,0.17083333333333334,0.5333333333333333,0.462890625,0.373046875,0.4384765625,0.4365234375,0.490234375,0.4248046875,0.4150390625,0.4755859375,0.4794921875,0.369140625
none,0,25,0.4192642405063291,0.4333984375,0.6666666666666666,0.16067708333333333,0.5333333333333333,0.15794270833333332,0.6333333333333333,0.19244791666666666,0.5333333333333333,0.19739583333333333,0.5666666666666667,0.18216145833333333,0.5666666666666667,0.4619140625,0.38671875,0.439453125,0.4130859375,0.4912109375,0.4423828125,0.408203125,0.462890625,0.4404296875,0.3876953125
none,0,26,0.41793908227848103,0.4248046875,0.7857142857142857,0.18098958333333334,0.6,0.16692708333333334,0.5666666666666667,0.210546875,0.5333333333333333,0.19947916666666668,0.6,0.18450520833333334,0.5333333333333333,0.455078125,0.3896484375,0.43359375,0.3994140625,0.4599609375,0.42578125,0.4130859375,0.4443359375,0.435546875,0.3916015625
