topology,distance,mean_coherence,std_coherence,sem_coherence,n_pairs,n_observations
none,inf,0.851861,0.025785,0.000333,10,6000
ring,1,0.915669,0.024943,0.000455,5,3000
ring,2,0.904796,0.022934,0.000419,5,3000
star,1,0.923686,0.018664,0.000381,4,2400
star,2,0.914281,0.019892,0.000332,6,3600
random,1,0.921645,0.018781,0.000242,10,6000
fully_connected,1,0.941065,0.013527,0.000175,10,6000
