topology,seed,generation,hamming_diversity,population_divergence,best_fitness
custom,0,0,0.46633040935672515,0.2945707070707071,0.6911111111111111
custom,0,1,0.4573757309941521,0.38844696969696973,0.7252380952380952
custom,0,2,0.4527448830409357,0.42200126262626264,0.6911111111111111
custom,0,3,0.44446637426900587,0.44905303030303023,0.6911111111111111
custom,0,4,0.44426900584795326,0.4546085858585858,0.6911111111111111
custom,0,5,0.439780701754386,0.363320707070707,0.6938095238095239
custom,0,6,0.4436695906432748,0.38598484848484843,0.7152380952380952
custom,0,7,0.44605628654970764,0.41695075757575756,0.7196825396825396
custom,0,8,0.445672514619883,0.44090909090909086,0.7196825396825396
custom,0,9,0.4434978070175439,0.44902146464646464,0.7196825396825396
custom,0,10,0.43918859649122804,0.3856060606060607,0.7196825396825396
custom,0,11,0.4409283625730994,0.4253156565656565,0.7252380952380952
custom,0,12,0.44187134502923975,0.42525252525252527,0.7271428571428571
custom,0,13,0.43889619883040937,0.42859848484848484,0.7482539682539682
custom,0,14,0.43524853801169594,0.43895202020202023,0.7482539682539682
custom,0,15,0.43429459064327486,0.3560921717171717,0.7482539682539682
custom,0,16,0.44220394736842106,0.39965277777777775,0.7482539682539682
custom,0,17,0.4355957602339181,0.42111742424242427,0.7482539682539682
custom,0,18,0.4391593567251462,0.4284090909090909,0.7482539682539682
custom,0,19,0.43918494152046783,0.43690025252525255,0.7326984126984126
custom,0,20,0.43790935672514625,0.36900252525252525,0.7326984126984126
custom,0,21,0.433687865497076,0.4117739898989899,0.739047619047619
custom,0,22,0.4303326023391813,0.41751893939393936,0.739047619047619
custom,0,23,0.42604897660818714,0.42888257575757577,0.7426984126984126
custom,0,24,0.4278545321637427,0.4381628787878788,0.7501587301587301
custom,0,25,0.42660453216374267,0.3675820707070707,0.7612698412698413
custom,0,26,0.42633040935672517,0.38434343434343443,0.7712698412698412
custom,0,27,0.42828581871345034,0.4130997474747475,0.7723809523809524
custom,0,28,0.42067251461988303,0.42607323232323235,0.7768253968253968
custom,0,29,0.4224049707602339,0.4342171717171717,0.7768253968253968
custom,0,30,0.4219298245614035,0.3585227272727272,0.7768253968253968
custom,0,31,0.4297478070175439,0.4041351010101009,0.7768253968253968
custom,0,32,0.430749269005848,0.43690025252525255,0.7768253968253968
custom,0,33,0.43273026315789476,0.44662247474747474,0.7668253968253969
custom,0,34,0.43370248538011696,0.4524936868686869,0.7768253968253968
custom,0,35,0.43782894736842104,0.40277777777777773,0.7768253968253968
custom,0,36,0.42625730994152045,0.42083333333333334,0.7768253968253968
custom,0,37,0.42230994152046786,0.43301767676767683,0.7768253968253968
custom,0,38,0.4222953216374269,0.4351010101010101,0.7768253968253968
custom,0,39,0.4258625730994152,0.4394570707070707,0.7768253968253968
custom,0,40,0.4314327485380117,0.3789141414141414,0.7768253968253968
custom,0,41,0.43699926900584796,0.4189709595959596,0.7768253968253968
custom,0,42,0.43104166666666666,0.41953914141414145,0.7768253968253968
custom,0,43,0.42949926900584795,0.43323863636363635,0.7657142857142857
custom,0,44,0.4317324561403509,0.44273989898989896,0.7668253968253969
custom,0,45,0.4266812865497076,0.39160353535353537,0.7657142857142857
custom,0,46,0.4268786549707603,0.405050505050505,0.7657142857142857
custom,0,47,0.42296783625731,0.4283459595959596,0.7657142857142857
custom,0,48,0.4259320175438596,0.43671085858585856,0.7657142857142857
custom,0,49,0.42368421052631583,0.43529040404040403,0.7668253968253969
custom,0,50,0.4217251461988304,0.37272727272727274,0.7612698412698413
custom,0,51,0.41977339181286555,0.38901515151515154,0.7601587301587301
custom,0,52,0.4117909356725146,0.3966540404040404,0.7601587301587301
custom,0,53,0.40234283625730993,0.4028724747474748,0.7601587301587301
custom,0,54,0.40401315789473685,0.4096590909090909,0.7601587301587301
custom,0,55,0.4062755847953216,0.35735479797979797,0.7657142857142857
custom,0,56,0.4180555555555555,0.39981060606060603,0.7668253968253969
custom,0,57,0.4189473684210527,0.4257575757575757,0.7657142857142857
custom,0,58,0.42161549707602336,0.43472222222222223,0.7712698412698412
custom,0,59,0.4248501461988304,0.4387941919191919,0.7668253968253969
custom,0,60,0.4226681286549708,0.3754419191919192,0.7712698412698412
custom,0,61,0.4139766081871345,0.3898989898989899,0.7961904761904762
custom,0,62,0.40612207602339184,0.38898358585858583,0.7712698412698412
custom,0,63,0.3967945906432748,0.3959280303030303,0.7723809523809524
custom,0,64,0.3954751461988304,0.4025252525252525,0.7612698412698413
custom,0,65,0.3991045321637427,0.35451388888888885,0.7657142857142857
custom,0,66,0.3782858187134503,0.35331439393939396,0.7712698412698412
custom,0,67,0.36919956140350874,0.35937500000000006,0.7712698412698412
custom,0,68,0.37341374269005845,0.3796717171717171,0.7768253968253968
custom,0,69,0.37995979532163743,0.3903093434343434,0.7712698412698412
custom,0,70,0.38337719298245615,0.33787878787878783,0.7723809523809524
custom,0,71,0.3737280701754386,0.3605429292929293,0.7712698412698412
custom,0,72,0.36577119883040937,0.3673926767676768,0.7998412698412698
custom,0,73,0.36584795321637426,0.3755050505050505,0.7998412698412698
custom,0,74,0.37220394736842105,0.38298611111111114,0.7942857142857143
custom,0,75,0.3798501461988304,0.3388573232323232,0.7768253968253968
custom,0,76,0.3799963450292398,0.36297348484848485,0.7731746031746032
custom,0,77,0.37666301169590644,0.3738320707070707,0.7731746031746032
custom,0,78,0.37823830409356723,0.376010101010101,0.7731746031746032
custom,0,79,0.37803728070175435,0.38778409090909094,0.7731746031746032
custom,0,80,0.372266081871345,0.3224747474747475,0.7731746031746032
custom,0,81,0.3493201754385965,0.32354797979797983,0.7942857142857143
custom,0,82,0.3399049707602339,0.3261994949494949,0.7942857142857143
custom,0,83,0.3412792397660819,0.3380050505050505,0.7998412698412698
custom,0,84,0.3462719298245614,0.3547348484848485,0.7942857142857143
custom,0,85,0.3514400584795322,0.31875000000000003,0.7942857142857143
custom,0,86,0.3517909356725146,0.3466540404040404,0.7942857142857143
custom,0,87,0.35058479532163744,0.354229797979798,0.8109523809523809
custom,0,88,0.35140716374269004,0.3557765151515152,0.7887301587301587
custom,0,89,0.3508845029239766,0.3566287878787879,0.7898412698412698
custom,0,90,0.3518676900584795,0.314425505050505,0.7898412698412698
custom,0,91,0.3483662280701754,0.32610479797979797,0.8073015873015873
custom,0,92,0.3447404970760234,0.3396780303030303,0.7953968253968253
custom,0,93,0.3412902046783625,0.3445391414141414,0.8053968253968253
custom,0,94,0.3438925438596491,0.3535669191919192,0.8053968253968253
custom,0,95,0.3423647660818714,0.31732954545454545,0.8053968253968253
custom,0,96,0.34794590643274853,0.3339646464646464,0.823968253968254
custom,0,97,0.34167763157894737,0.34504419191919194,0.823968253968254
custom,0,98,0.3476133040935672,0.3538825757575758,0.8009523809523809
custom,0,99,0.35197733918128654,0.3607007575757576,0.8184126984126985
custom,1,0,0.47081871345029236,0.28244949494949495,0.7096825396825397
custom,1,1,0.4583296783625731,0.3682765151515151,0.693015873015873
custom,1,2,0.459031432748538,0.39807449494949493,0.7041269841269842
custom,1,3,0.4517251461988304,0.42683080808080803,0.6919047619047619
custom,1,4,0.4471016081871345,0.43494318181818176,0.6919047619047619
custom,1,5,0.4475804093567251,0.3518939393939394,0.6919047619047619
custom,1,6,0.4467909356725146,0.3954545454545455,0.6919047619047619
custom,1,7,0.45041666666666663,0.44210858585858587,0.7041269841269842
custom,1,8,0.4506432748538012,0.4529671717171717,0.714126984126984
custom,1,9,0.451374269005848,0.4541666666666666,0.714126984126984
custom,1,10,0.44950657894736845,0.37919823232323235,0.7196825396825396
custom,1,11,0.4447076023391813,0.3898989898989899,0.7196825396825396
custom,1,12,0.4399817251461988,0.41461489898989895,0.7196825396825396
custom,1,13,0.44245248538011694,0.4459911616161616,0.7196825396825396
custom,1,14,0.44010233918128655,0.4420454545454546,0.7196825396825396
custom,1,15,0.4394700292397661,0.36726641414141414,0.7252380952380952
custom,1,16,0.43036915204678367,0.40880681818181824,0.714126984126984
custom,1,17,0.4344517543859649,0.4305555555555555,0.7196825396825396
custom,1,18,0.43336622807017544,0.44188762626262623,0.7196825396825396
custom,1,19,0.43639619883040937,0.45479797979797976,0.7196825396825396
custom,1,20,0.4380957602339181,0.37370580808080806,0.7196825396825396
custom,1,21,0.43112207602339186,0.4030618686868686,0.7196825396825396
custom,1,22,0.41688961988304096,0.4045770202020202,0.7196825396825396
custom,1,23,0.41165204678362577,0.41426767676767684,0.7196825396825396
custom,1,24,0.41047149122807014,0.42964015151515156,0.7196825396825396
custom,1,25,0.41490862573099413,0.371875,0.7252380952380952
custom,1,26,0.40175073099415204,0.3617739898989898,0.7252380952380952
custom,1,27,0.4063925438596491,0.3806502525252525,0.7196825396825396
custom,1,28,0.40017543859649124,0.395959595959596,0.7196825396825396
