topology,seed,generation,hamming_diversity,population_divergence,best_fitness
custom,0,0,0.46633040935672515,0.2945707070707071,0.6911111111111111
custom,0,1,0.4573757309941521,0.38844696969696973,0.7252380952380952
custom,0,2,0.4527448830409357,0.42200126262626264,0.6911111111111111
custom,0,3,0.44446637426900587,0.44905303030303023,0.6911111111111111
custom,0,4,0.44426900584795326,0.4546085858585858,0.6911111111111111
custom,0,5,0.439780701754386,0.35183080808080813,0.6938095238095239
custom,0,6,0.4431432748538012,0.3830808080808081,0.6911111111111111
custom,0,7,0.43777777777777777,0.4138888888888889,0.6911111111111111
custom,0,8,0.4295394736842105,0.43768939393939404,0.6966666666666667
custom,0,9,0.4328764619883041,0.4417613636363637,0.6966666666666667
custom,0,10,0.4330190058479532,0.36666666666666664,0.6966666666666667
custom,0,11,0.4296308479532164,0.3773042929292929,0.6985714285714286
custom,0,12,0.4273245614035088,0.4077020202020202,0.6966666666666667
custom,0,13,0.4247843567251462,0.4197285353535354,0.6863492063492064
custom,0,14,0.42743055555555554,0.4245265151515151,0.6966666666666667
custom,0,15,0.42524488304093566,0.36057449494949495,0.6966666666666667
custom,0,16,0.4287390350877193,0.40684974747474745,0.6966666666666667
custom,0,17,0.43369152046783627,0.4321969696969697,0.7085714285714285
custom,0,18,0.43451023391812865,0.4347222222222223,0.7196825396825396
custom,0,19,0.4342324561403509,0.44204545454545463,0.6966666666666667
custom,0,20,0.4313413742690058,0.3546401515151515,0.6966666666666667
custom,0,21,0.42937134502923974,0.37979797979797975,0.7152380952380952
custom,0,22,0.42204312865497073,0.4034406565656566,0.714126984126984
custom,0,23,0.42374634502923975,0.4149305555555555,0.7085714285714285
custom,0,24,0.42580043859649125,0.43506944444444445,0.7482539682539682
custom,0,25,0.42717470760233917,0.369854797979798,0.7482539682539682
custom,0,26,0.41653143274853804,0.37326388888888884,0.7482539682539682
custom,0,27,0.41233187134502924,0.40763888888888894,0.7482539682539682
custom,0,28,0.4131213450292398,0.4095959595959596,0.7382539682539682
custom,0,29,0.4051169590643275,0.41470959595959594,0.7382539682539682
custom,0,30,0.4048245614035088,0.341540404040404,0.7382539682539682
custom,0,31,0.40784722222222225,0.3800189393939394,0.7382539682539682
custom,0,32,0.4069956140350877,0.3921085858585859,0.7438095238095237
custom,0,33,0.40635233918128655,0.4129419191919192,0.7371428571428571
custom,0,34,0.4089948830409357,0.4178977272727272,0.7371428571428571
custom,0,35,0.410515350877193,0.3515467171717172,0.7426984126984126
custom,0,36,0.41218201754385964,0.39403409090909086,0.7426984126984126
custom,0,37,0.41113669590643276,0.4145517676767677,0.7426984126984126
custom,0,38,0.412843567251462,0.4234217171717172,0.7426984126984126
custom,0,39,0.4132054093567251,0.42938762626262633,0.7557142857142858
custom,0,40,0.42070906432748534,0.3704545454545454,0.7426984126984126
custom,0,41,0.4230263157894737,0.4169823232323232,0.7426984126984126
custom,0,42,0.42137061403508774,0.4221275252525253,0.7426984126984126
custom,0,43,0.4275365497076023,0.43446969696969695,0.7601587301587301
custom,0,44,0.429078947368421,0.43882575757575754,0.7712698412698412
custom,0,45,0.43182383040935673,0.3682133838383838,0.7557142857142858
custom,0,46,0.4317543859649123,0.4043560606060606,0.7546031746031746
custom,0,47,0.4318421052631579,0.4318181818181818,0.7546031746031746
custom,0,48,0.43322733918128653,0.43683712121212115,0.7546031746031746
custom,0,49,0.4343092105263158,0.43999368686868684,0.7712698412698412
custom,0,50,0.43539839181286555,0.3818497474747475,0.7712698412698412
custom,0,51,0.4333479532163743,0.4243686868686869,0.7768253968253968
custom,0,52,0.43356725146198827,0.44109848484848485,0.7723809523809524
custom,0,53,0.4353874269005848,0.45018939393939394,0.7712698412698412
custom,0,54,0.432328216374269,0.4468118686868687,0.7712698412698412
custom,0,55,0.43590643274853796,0.3775883838383838,0.7712698412698412
custom,0,56,0.43437134502923974,0.4135732323232323,0.7723809523809524
custom,0,57,0.4241922514619883,0.42989267676767673,0.7712698412698412
custom,0,58,0.42271198830409357,0.43522727272727274,0.7712698412698412
custom,0,59,0.4257529239766082,0.4414772727272727,0.7768253968253968
custom,0,60,0.42579312865497077,0.38803661616161617,0.7723809523809524
custom,0,61,0.42058479532163745,0.39362373737373735,0.7668253968253969
custom,0,62,0.4160635964912281,0.39700126262626256,0.7768253968253968
custom,0,63,0.41801535087719294,0.40943813131313134,0.7723809523809524
custom,0,64,0.4170979532163743,0.4110479797979798,0.7723809523809524
custom,0,65,0.41392909356725144,0.32989267676767675,0.7668253968253969
custom,0,66,0.4244261695906433,0.3747790404040404,0.7898412698412698
custom,0,67,0.42497076023391817,0.4046717171717171,0.7768253968253968
custom,0,68,0.41039108187134504,0.41259469696969703,0.7768253968253968
custom,0,69,0.4175657894736842,0.4265782828282828,0.7712698412698412
custom,0,70,0.4203070175438597,0.37354797979797977,0.7712698412698412
custom,0,71,0.41677997076023393,0.40767045454545453,0.7712698412698412
custom,0,72,0.41903508771929826,0.41256313131313127,0.7712698412698412
custom,0,73,0.4239656432748538,0.4224431818181818,0.7712698412698412
custom,0,74,0.4263340643274854,0.4344381313131313,0.7657142857142857
custom,0,75,0.427719298245614,0.3731060606060606,0.7712698412698412
custom,0,76,0.4193603801169591,0.39302398989898985,0.7668253968253969
custom,0,77,0.4168713450292397,0.4147727272727273,0.7842857142857143
custom,0,78,0.4158077485380117,0.4215593434343434,0.7842857142857143
custom,0,79,0.421078216374269,0.4334280303030303,0.7842857142857143
custom,0,80,0.4120321637426901,0.3784090909090909,0.7842857142857143
custom,0,81,0.4103216374269006,0.3941287878787879,0.7842857142857143
custom,0,82,0.3976535087719298,0.3997474747474747,0.7998412698412698
custom,0,83,0.39862573099415205,0.4042297979797979,0.7998412698412698
custom,0,84,0.3931652046783626,0.40744949494949495,0.7898412698412698
custom,0,85,0.39091739766081873,0.3665088383838384,0.7787301587301587
custom,0,86,0.387328216374269,0.36777146464646465,0.7768253968253968
custom,0,87,0.37295687134502925,0.3680871212121212,0.7787301587301587
custom,0,88,0.3746381578947368,0.375915404040404,0.7768253968253968
custom,0,89,0.36795687134502925,0.3722537878787879,0.7768253968253968
custom,0,90,0.36175804093567254,0.3305239898989899,0.7768253968253968
custom,0,91,0.35827485380116963,0.34412878787878787,0.7768253968253968
custom,0,92,0.35485014619883043,0.3476957070707071,0.7768253968253968
custom,0,93,0.35544956140350875,0.35924873737373736,0.7768253968253968
custom,0,94,0.3626754385964912,0.3707070707070707,0.7787301587301587
custom,0,95,0.36273391812865496,0.33194444444444443,0.7768253968253968
custom,0,96,0.3574122807017544,0.34741161616161614,0.7768253968253968
custom,0,97,0.3597076023391813,0.36275252525252527,0.7823809523809524
custom,0,98,0.3592214912280702,0.3660669191919192,0.7823809523809524
custom,0,99,0.36157894736842106,0.3736742424242424,0.7823809523809524
custom,1,0,0.47081871345029236,0.28244949494949495,0.7096825396825397
custom,1,1,0.4583296783625731,0.3682765151515151,0.693015873015873
custom,1,2,0.459031432748538,0.39807449494949493,0.7041269841269842
custom,1,3,0.4517251461988304,0.42683080808080803,0.6919047619047619
custom,1,4,0.4471016081871345,0.43494318181818176,0.6919047619047619
custom,1,5,0.4475804093567251,0.353030303030303,0.6919047619047619
custom,1,6,0.44592836257309937,0.3879419191919193,0.714126984126984
custom,1,7,0.442905701754386,0.4327335858585859,0.7085714285714285
custom,1,8,0.4477558479532163,0.4529040404040404,0.7085714285714285
custom,1,9,0.445,0.45132575757575766,0.7096825396825397
custom,1,10,0.442562134502924,0.3730113636363636,0.714126984126984
custom,1,11,0.4356103801169591,0.4350694444444444,0.714126984126984
custom,1,12,0.4400292397660819,0.454229797979798,0.714126984126984
custom,1,13,0.4442251461988304,0.46540404040404043,0.7252380952380952
custom,1,14,0.4449890350877193,0.464614898989899,0.7196825396825396
custom,1,15,0.44368786549707606,0.3628472222222222,0.7252380952380952
custom,1,16,0.4197002923976608,0.3831439393939393,0.7252380952380952
custom,1,17,0.4126315789473684,0.40404040404040403,0.7546031746031745
custom,1,18,0.406374269005848,0.40953282828282833,0.7546031746031745
custom,1,19,0.40381578947368424,0.41363636363636364,0.7546031746031745
custom,1,20,0.3985891812865497,0.34873737373737373,0.7268253968253968
custom,1,21,0.3908077485380117,0.3783775252525253,0.7326984126984126
custom,1,22,0.3966593567251462,0.3969065656565657,0.7326984126984126
custom,1,23,0.3947404970760234,0.40621843434343435,0.7538095238095237
custom,1,24,0.3973464912280702,0.4104166666666667,0.7538095238095237
custom,1,25,0.39841008771929826,0.34756944444444443,0.7546031746031746
custom,1,26,0.3859247076023392,0.35047348484848484,0.7538095238095237
custom,1,27,0.3869517543859649,0.3654040404040404,0.749047619047619
custom,1,28,0.38627558479532165,0.3815972222222222,0.7538095238095237
