topology,seed,generation,hamming_diversity,population_divergence,best_fitness
custom,0,0,0.46633040935672515,0.2945707070707071,0.6911111111111111
custom,0,1,0.4573757309941521,0.38844696969696973,0.7252380952380952
custom,0,2,0.4527448830409357,0.42200126262626264,0.6911111111111111
custom,0,3,0.44446637426900587,0.44905303030303023,0.6911111111111111
custom,0,4,0.44426900584795326,0.4546085858585858,0.6911111111111111
custom,0,5,0.439780701754386,0.3819444444444445,0.6938095238095239
custom,0,6,0.4409137426900585,0.42891414141414136,0.7104761904761905
custom,0,7,0.44801169590643275,0.4490530303030303,0.6985714285714286
custom,0,8,0.44780701754385965,0.4638257575757576,0.7215873015873016
custom,0,9,0.4415679824561404,0.4607638888888888,0.7215873015873016
custom,0,10,0.43970029239766084,0.37026515151515144,0.7371428571428571
custom,0,11,0.4370175438596491,0.3851641414141414,0.7215873015873016
custom,0,12,0.4335891812865497,0.4225378787878788,0.7271428571428571
custom,0,13,0.4329641812865497,0.4449179292929293,0.7271428571428571
custom,0,14,0.429389619883041,0.4482007575757576,0.7271428571428571
custom,0,15,0.42791301169590645,0.38993055555555556,0.7271428571428571
custom,0,16,0.43149488304093564,0.4005366161616162,0.7438095238095237
custom,0,17,0.4293201754385965,0.41578282828282825,0.7438095238095237
custom,0,18,0.4295029239766082,0.4347853535353536,0.7482539682539682
custom,0,19,0.4305519005847953,0.44479166666666664,0.7482539682539682
custom,0,20,0.4295577485380117,0.383175505050505,0.7482539682539682
custom,0,21,0.4274890350877193,0.3795138888888889,0.749047619047619
custom,0,22,0.4220869883040936,0.40596590909090907,0.7657142857142857
custom,0,23,0.41985745614035086,0.4228219696969697,0.7657142857142857
custom,0,24,0.422328216374269,0.43803661616161615,0.7557142857142858
custom,0,25,0.4238779239766082,0.3839330808080808,0.7557142857142858
custom,0,26,0.4221235380116959,0.3907512626262627,0.7712698412698412
custom,0,27,0.4237828947368421,0.4179608585858585,0.7712698412698412
custom,0,28,0.42695175438596494,0.42487373737373735,0.7712698412698412
custom,0,29,0.42795321637426903,0.43636363636363634,0.7712698412698412
custom,0,30,0.430109649122807,0.3918560606060606,0.7712698412698412
custom,0,31,0.42764619883040933,0.41691919191919197,0.7712698412698412
custom,0,32,0.42261330409356723,0.426925505050505,0.7712698412698412
custom,0,33,0.4153252923976608,0.4257891414141414,0.7712698412698412
custom,0,34,0.4150950292397661,0.43049242424242423,0.7712698412698412
custom,0,35,0.4174232456140351,0.38525883838383834,0.7712698412698412
custom,0,36,0.4085380116959064,0.41041666666666665,0.7712698412698412
custom,0,37,0.4072551169590643,0.40703914141414144,0.7712698412698412
custom,0,38,0.4058771929824561,0.4069444444444444,0.7712698412698412
custom,0,39,0.41038377192982456,0.41865530303030307,0.7712698412698412
custom,0,40,0.4049415204678362,0.368939393939394,0.7712698412698412
custom,0,41,0.4001644736842105,0.3829229797979798,0.7712698412698412
custom,0,42,0.3892836257309941,0.38516414141414135,0.7712698412698412
custom,0,43,0.38469298245614036,0.3958333333333333,0.7712698412698412
custom,0,44,0.38395102339181286,0.3967487373737374,0.7768253968253968
custom,0,45,0.38364035087719295,0.3581439393939394,0.7787301587301587
custom,0,46,0.3811549707602339,0.37032828282828284,0.7787301587301587
custom,0,47,0.3744590643274854,0.3829545454545455,0.7787301587301587
custom,0,48,0.37208698830409354,0.3849431818181818,0.7942857142857143
custom,0,49,0.37401681286549704,0.3850063131313131,0.7842857142857143
custom,0,50,0.3773611111111111,0.3520833333333333,0.7842857142857143
custom,0,51,0.3730701754385965,0.3710227272727273,0.7842857142857143
custom,0,52,0.3709502923976608,0.3806818181818182,0.7887301587301587
custom,0,53,0.3736147660818714,0.38948863636363634,0.7887301587301587
custom,0,54,0.37679459064327486,0.39264520202020203,0.7887301587301587
custom,0,55,0.37588815789473684,0.35135732323232327,0.7942857142857143
custom,0,56,0.3765350877192982,0.3818813131313131,0.7942857142857143
custom,0,57,0.3858333333333333,0.39539141414141415,0.7887301587301587
custom,0,58,0.3953764619883041,0.40703914141414144,0.7887301587301587
custom,0,59,0.40039473684210525,0.4144570707070707,0.7887301587301587
custom,0,60,0.40510964912280706,0.36786616161616165,0.7723809523809524
custom,0,61,0.40854166666666664,0.3843118686868687,0.7768253968253968
custom,0,62,0.40438230994152047,0.3995896464646464,0.7768253968253968
custom,0,63,0.40841008771929826,0.4107007575757576,0.7712698412698412
custom,0,64,0.4079714912280702,0.4111426767676768,0.7712698412698412
custom,0,65,0.40557383040935674,0.36480429292929295,0.7712698412698412
custom,0,66,0.40136330409356724,0.3856376262626262,0.7823809523809524
custom,0,67,0.40521929824561403,0.4114898989898989,0.7787301587301587
custom,0,68,0.40618786549707603,0.41884469696969695,0.7823809523809524
custom,0,69,0.40233187134502923,0.4181186868686869,0.7787301587301587
custom,0,70,0.3982748538011696,0.3589646464646465,0.8017460317460318
custom,0,71,0.3964948830409357,0.36985479797979803,0.7842857142857143
custom,0,72,0.3946929824561404,0.3943813131313132,0.7842857142857143
custom,0,73,0.39345394736842104,0.3979482323232323,0.7842857142857143
custom,0,74,0.3905263157894737,0.3970959595959596,0.7731746031746032
custom,0,75,0.38558845029239763,0.3608901515151515,0.7842857142857143
custom,0,76,0.388172514619883,0.36976010101010104,0.7842857142857143
custom,0,77,0.3894152046783626,0.37803030303030305,0.7898412698412698
custom,0,78,0.39711622807017544,0.3928977272727273,0.7898412698412698
custom,0,79,0.39451023391812867,0.40303030303030307,0.7898412698412698
custom,0,80,0.39236842105263153,0.3648358585858586,0.7823809523809524
custom,0,81,0.39493055555555556,0.3915719696969697,0.7712698412698412
custom,0,82,0.39881213450292397,0.402304292929293,0.7823809523809524
custom,0,83,0.3954970760233918,0.4081439393939394,0.7823809523809524
custom,0,84,0.40077485380116956,0.41395202020202015,0.7723809523809524
custom,0,85,0.40655701754385964,0.36723484848484844,0.7823809523809524
custom,0,86,0.410672514619883,0.4054292929292929,0.7823809523809524
custom,0,87,0.40668859649122807,0.4097222222222222,0.7823809523809524
custom,0,88,0.4069773391812866,0.41448863636363636,0.7998412698412698
custom,0,89,0.4086111111111111,0.42266414141414144,0.8053968253968253
custom,0,90,0.41032529239766086,0.37010732323232326,0.8053968253968253
custom,0,91,0.4046747076023392,0.3880366161616162,0.8009523809523809
custom,0,92,0.4008808479532163,0.3845643939393939,0.8053968253968253
custom,0,93,0.4008808479532163,0.3996527777777778,0.8053968253968253
custom,0,94,0.3891812865497076,0.3946338383838384,0.8053968253968253
custom,0,95,0.3879385964912281,0.33838383838383845,0.8053968253968253
custom,0,96,0.38860380116959065,0.37575757575757573,0.8009523809523809
custom,0,97,0.38241593567251464,0.3851957070707071,0.8053968253968253
custom,0,98,0.3856505847953216,0.3961489898989899,0.8109523809523809
custom,0,99,0.38225146198830406,0.39652777777777776,0.8109523809523809
custom,1,0,0.47081871345029236,0.28244949494949495,0.7096825396825397
custom,1,1,0.4583296783625731,0.3682765151515151,0.693015873015873
custom,1,2,0.459031432748538,0.39807449494949493,0.7041269841269842
custom,1,3,0.4517251461988304,0.42683080808080803,0.6919047619047619
custom,1,4,0.4471016081871345,0.43494318181818176,0.6919047619047619
custom,1,5,0.4475804093567251,0.3584595959595959,0.6919047619047619
custom,1,6,0.4484320175438597,0.4143623737373737,0.6974603174603174
custom,1,7,0.44941520467836255,0.4493686868686869,0.6985714285714286
custom,1,8,0.44976973684210525,0.45590277777777777,0.6985714285714286
custom,1,9,0.4492507309941521,0.45861742424242424,0.7041269841269842
custom,1,10,0.4507785087719298,0.3943497474747475,0.7196825396825396
custom,1,11,0.44822733918128654,0.414425505050505,0.7252380952380952
custom,1,12,0.44532529239766083,0.44940025252525245,0.714126984126984
custom,1,13,0.438453947368421,0.4460542929292929,0.714126984126984
custom,1,14,0.44048245614035086,0.4509469696969697,0.714126984126984
custom,1,15,0.43754751461988306,0.3896780303030303,0.7252380952380952
custom,1,16,0.4405811403508772,0.42717803030303025,0.714126984126984
custom,1,17,0.44178362573099417,0.45631313131313134,0.7252380952380952
custom,1,18,0.44023026315789476,0.4572916666666667,0.7252380952380952
custom,1,19,0.4410453216374269,0.4606060606060606,0.7196825396825396
custom,1,20,0.4403947368421052,0.4003787878787879,0.7196825396825396
custom,1,21,0.4413230994152047,0.40176767676767683,0.7196825396825396
custom,1,22,0.4405921052631579,0.4274621212121211,0.7196825396825397
custom,1,23,0.442671783625731,0.4502209595959596,0.7252380952380952
custom,1,24,0.4445029239766082,0.45770202020202017,0.7252380952380952
custom,1,25,0.44721491228070176,0.4022727272727273,0.7252380952380952
custom,1,26,0.44672880116959063,0.42559974747474755,0.7271428571428571
custom,1,27,0.4494517543859649,0.4559974747474747,0.7252380952380952
custom,1,28,0.4552229532163743,0.4678345959595959,0.7252380952380952
