topology,seed,generation,hamming_diversity,population_divergence,best_fitness
custom,0,0,0.48803508771929827,0.3166666666666667,65.0
custom,0,1,0.4743070175438596,0.40219696969696966,67.0
custom,0,2,0.45919956140350876,0.4514962121212121,69.0
custom,0,3,0.45125877192982455,0.4551136363636364,69.0
custom,0,4,0.44284210526315787,0.45768939393939395,70.0
custom,0,5,0.4398092105263158,0.36695075757575757,71.0
custom,0,6,0.4232741228070176,0.41528409090909085,73.0
custom,0,7,0.40684868421052633,0.4139583333333334,72.0
custom,0,8,0.4043969298245614,0.4234280303030303,73.0
custom,0,9,0.3974144736842105,0.41679924242424243,73.0
custom,0,10,0.39401535087719297,0.36289772727272723,72.0
custom,0,11,0.386969298245614,0.3856818181818182,74.0
custom,0,12,0.37345833333333334,0.38035984848484855,75.0
custom,0,13,0.3682565789473684,0.37706439393939395,75.0
custom,0,14,0.3600657894736842,0.3738636363636364,76.0
custom,0,15,0.35089035087719295,0.32428030303030303,76.0
custom,0,16,0.3382061403508772,0.33412878787878797,77.0
custom,0,17,0.32328947368421057,0.33325757575757575,78.0
custom,0,18,0.31675000000000003,0.32821969696969694,79.0
custom,0,19,0.31251754385964914,0.32553030303030295,79.0
custom,0,20,0.30551973684210526,0.2871401515151515,80.0
custom,0,21,0.2977916666666667,0.28392045454545456,83.0
custom,0,22,0.28821929824561404,0.27545454545454545,83.0
custom,0,23,0.28239473684210525,0.28818181818181815,83.0
custom,0,24,0.2784473684210526,0.28882575757575757,84.0
custom,0,25,0.2778333333333334,0.2620454545454545,84.0
custom,0,26,0.2699013157894737,0.2637689393939394,84.0
custom,0,27,0.2716315789473684,0.2701136363636364,86.0
custom,0,28,0.2675416666666667,0.2726704545454545,86.0
custom,0,29,0.267844298245614,0.275625,86.0
custom,0,30,0.26651535087719297,0.2507007575757576,88.0
custom,0,31,0.25676315789473686,0.25439393939393945,88.0
custom,0,32,0.2492785087719298,0.248844696969697,88.0
custom,0,33,0.2437982456140351,0.24757575757575762,87.0
custom,0,34,0.24128508771929824,0.24950757575757576,87.0
custom,0,35,0.24274561403508774,0.22568181818181818,87.0
custom,0,36,0.24091447368421054,0.2394128787878788,90.0
custom,0,37,0.23571491228070177,0.23647727272727273,90.0
custom,0,38,0.2257434210526316,0.2283901515151515,91.0
custom,0,39,0.21785526315789475,0.22401515151515153,91.0
custom,0,40,0.2122280701754386,0.19875,92.0
custom,0,41,0.20105701754385966,0.19761363636363635,92.0
custom,0,42,0.19520175438596493,0.19791666666666666,92.0
custom,0,43,0.1940109649122807,0.19816287878787878,92.0
custom,0,44,0.19539254385964913,0.20009469696969698,93.0
custom,0,45,0.19170394736842106,0.18172348484848486,92.0
custom,0,46,0.18950877192982457,0.18765151515151515,92.0
custom,0,47,0.19080921052631578,0.19395833333333332,92.0
custom,0,48,0.18725219298245613,0.1928598484848485,92.0
custom,0,49,0.18194298245614035,0.18795454545454546,92.0
custom,0,50,0.18002192982456142,0.1715909090909091,92.0
custom,0,51,0.1763969298245614,0.1742992424242424,94.0
custom,0,52,0.17003508771929823,0.17272727272727273,94.0
custom,0,53,0.1653421052631579,0.16996212121212123,94.0
custom,0,54,0.16397807017543858,0.16969696969696968,94.0
custom,0,55,0.16018421052631576,0.14935606060606063,94.0
custom,0,56,0.15842763157894738,0.15638257575757578,94.0
